id,lang_id,arabic_name,english_name,translation,description,wazeefa
114,2,الغَفَّارُ,Al-Ghaffar,درگزر اور پردہ پوشی کرنے والا,وہ جو بہت زیادہ غلطیوں سے درگزر کرنے والا اور تمام گناہوں کو معاف کرنے والا ہے۔,جو شخص بعد نماز عصر روزانہ [یا غفار اغفرلی] ایک سو  [۱۰۱] مرتبہ پڑھے تو انشاء اللہ تعالی بخشے ہوئے لوگوں کے زمرے میں ہوگا ۔
115,2,القَهَّارُ,Al-Qahhar,سبکو اپنے قابو میں کرنے والا,وہ جو کامل برتری رکھتا ہے اور قدرت رکھتا ہے ہر کام کرنے کی جو وہ چاہتا ہے۔,ہمیشہ [یا قھار] بکثرت ورد کرنے والے کے دل سے دنیا کی محبت ختم ہوکر خدا کی محبت پیدا ہوگی ۔
116,2,الوَهَّابُ,Al-Wahhab,سب کو عطا کرنے والا,وہ جو اپنی مخلوقات کو بے غرض برکتوں، بخششوں اور سخاواتوں سے نوازتا ہے۔,فقرو فاقہ میں گرفتار شخص [یا وھاب] کا بکثرت ورد کرے ، یا چاشت کی نماز کے بعد سجدہ میں چالیس [۴۰] مرتبہ پڑھے تو فقر و فاقہ سے نجات مل جاتی ہے ۔ اگر کوئی خاص حاجت درپیش ہو تو گھر یا مسجد کے صحن میں تین بار سجدہ کر کے ہاتھ اٹھائے اور ایک سو [۱۰۰] بار یہ اسم پڑھے تو انشاء اللہ حاجت ضرور پوری ہوگی ۔
117,2,الرَزَّاقُ,Ar-Razzaq,سب کو روزی دینے والا,وہ جو اپنی تمام مخلوق کو رزق اور مفید ترین اشیاء عطا کرتا ہے۔,نماز فجر سے پہلے جو شخص اپنے مکان کے چاروں کونوں میں دس دس مرتبہ یہ اسم پڑھ کر دم کرے گا ، اس گھر میں بیماری اور مفلسی نہیں آئے گی ، منہ قبلہ کی طرف رکھ کر دائیں کونہ سے شروع کرے ۔
118,2,الفَتَّاحُ,Al-Fattah,مشکل کشا,تمام مشکلوں کو حل کرنے والا اور تمام مزاحمتوں کو دور کرنے والا ہے۔,نماز فجر کے بعد سینہ پر ہاتھ باندھ کر ستر [۷۰] مرتبہ یہ اسم پڑھنے سے دل ایمان کے نور سے منور ہوجاتا ہے ۔
119,2,العَلِيمُ,Al-A’lim,وسیع علم رکھنے والا,وہ جو ہر شے کا علم رکھتا ہے۔,اس اسم کے بکثرت ورد کرنے والے پر اللہ تعالی علم و معرفت کے در کشادہ کر دیتے ہیں ۔
120,2,القَابِضُ,Al-Qabid,روزی تنگ کرنے والا,وہ جو ہر شے پر قبضہ و قدرت رکھتا ہے,روٹی کے چار لقموں پر لکھ کر چالیس دن متواتر کھانے والا انشاء اللہ ہمیشہ سخت بھوک ، پیاس ، زخم ، اور درد وغیرہ کی تکلیف سے محفوظ رہے گا ۔
121,2,البَاسِطُ,Al-Basit,روزی فراخ کرنے والا,وہ جو وسعت دیتا ہے,چاشت کی نماز پڑھنے کے بعد آسمان کی طرف ہاتھ اٹھا کر روزانہ دس مرتبہ یہ اسم پڑھ کر منہ پر ہاتھ  پھیرلے تو انشاء اللہ ایسا شخص کبھی کسی کا محتاج نہ ہوگا
122,2,الخَافِضُ,Al-Khafid,پست کرنے والا,وہ جو اپنے نہ ماننے والوں کو ذلت دیتا ہے,جو شخص روزانہ پانچ سو مرتبہ یہ اسم پڑھے گا اللہ تعالی اس کی تمام جائز مرادیں پوری کریگا اور تمام مشکلات دور فرمائیں گے ۔ جو شخص تین روزے رکھے اور چوتھے دن الگ جگہ بیٹھ کر ستر مرتبہ یہ اسم پڑھے تو انشاء اللہ تعالی دشمن پر فتح یاب ہوگا ۔
123,2,الرَّافِعُ,Ar-Rafi,بلند کرنے والا,وہ جو بلندیاں اور بلند مقام عطا فرماتا ہے,جو شخص ہر ماہ کی چودھویں شب کو آدھی رات کے وقت ایک سو مرتبہ یہ اسم پڑھے تو اللہ تعالی اسے مخلوق سے بے نیاز و مستغنی کر دیں گے  اور تونگر بنا دیں گے ۔
124,2,المُعِزُّ,Al-Mu’izz,عزت دینے والا,وہ جو انسان کو عظمت ، شوکت اور مقبولیت عطا کرتا ہے,پیر یا جمعہ کو بعد نماز مغرب [۱۴۰] مرتبہ جو شخص یہ اسم پڑھتا رہے تو اللہ تعالی اسے لوگوں میں باعزت و باوقار بنا دیں گے ۔
125,2,المُذِلُّ,Al-Muzil,ذلت دینے والا,وہ متکبر اور نافرمانوں کو ذلیل و خوار کرتا ہے,جو شخص پچھتر [۷۵] مرتبہ [یا مذل] پڑھ کر سجدے میں جا کر دعا کرے تو اللہ تعالی ظالموں ، حاسدوں اور دشمنوں سے اسے محفوظ رکھیں گے ۔
126,2,السَّمِيعُ,As-Sami,سب کچھ سننے والا,وہ جو ہر ایک کی سنتا ہے,جمعرات کے دن چاشت کی نماز پڑھنے کے بعد پانچ سو [۵۰۰] مرتبہ یا ایک سو [۱۰۰] یا پچاس [۵۰] مرتبہ جو شخص یہ اسم پڑھے گا انشاء اللہ اس کی دعائیں قبول ہونگی ، پڑھنے کے دوران کسی سے بات نہ کرے ۔ جو شخص فجر کی نماز کے فرض اور سنت کے درمیان یہ اسم ایک سو [۱۰۰] مرتبہ پڑھے گا اسے اللہ تعالی خاص نظر سے نوازیں گے ۔
127,2,البَصِيرُ,Al-Basir,سب کچھ دیکھنے والا,وہ جو ہر چیز کا مشاہدہ کر رہا ہے,جو شخص نماز جمعہ کے بعد ایک سو [۱۰۰] مرتبہ یہ اسم پڑھے گا انشاء اللہ تعالی اس کے دل میں نور اور آنکھوں میں روشنی پیدا ہوگی ۔
128,2,الحَكَمُ,Al-Hakam,حاکم مطلق ، حکم دینے والا,وہ جو انصاف کرتا ہے اور حقدار کو اسکا حق دلاتا ہے,آخر شب میں باوضو ہوکر ننانوے [۹۹] مرتبہ پڑھنے والے کا دل محل اسرار و نور ہوگا ۔ جو شخص جمعہ کی رات کو یہ اسم اس قدر پڑھے کہ بے خود ہوجائے تو انشاء اللہ تعالی اس کا قلب کشف و الہام کا مرکز ہو جائے گا ۔
129,2,العَدلُ,Al-Adl,سرتاپا انصاف,وہ جو انصاف کرنے والا ہے,جو شخص جمعہ کے دن یا جمعہ کی رات میں روٹی کے بیس [۲۰]  ٹکڑوں پر [العدل] لکھ کر کھائے گا اللہ تعالی اس کے لیے مخلوق کو مسخر کر دیں گے اور فیصلہ اس کے حق میں ہوگا ۔
130,2,اللَّطِيفُ,Al-Latif,سرتاپا لطف و کرم,وہ جو ہر چیز کے دقیق ترین معانی سے واقف ہے ، وہ جس نے ہر شے کو ایسی حکمت کے ساتھ پیدا کیا ہے جس کو کوئی نہیں سمجھ سکتا اور وہ یہ کہ انتہائی پر اسرار طور سے سب پر اپنی برکتیں نازل فرماتا ہے,ایک سو تینتیس [۱۳۳] مرتبہ روزانہ پڑھنے والے کے رزق میں انشاء اللہ تعالی برکت ہوگی اور سب کام بخوبی پورے ہوں گے ۔ فقرو فاقہ دکھ مصیبت اور پریشانی میں مبتلا شخص کسی وقت اچھی طرح وضو کرکے دوگانہ پڑھے اور دل میں مقصد کا خیال رکھ کر ایک سو [۱۰۰] مرتبہ یہ اسم پڑھے انشاء اللہ تعالی کامیابی ہوگی ۔
131,2,الخَبِيرُ,Al-Khabir,آگاہ و باخبر,وہ جو ہر شے کے باریک ترین مضمرات سے آگاہ ہے اور ہر شے کے اندرونی معانی سے آگاہ ہے,سات روز جو شخص بکثرت اس اسم کا ورد کرے گا اس پر انشاء اللہ تعالی پوشیدہ راز ظاہر ہونے لگیں گے ۔
132,2,الحَلِيمُ,Al-Halim,بڑا بُرد بار,وہ جو بڑا بردبار، برداشت کرنے والا اور بڑا رحم کرنے والا ہے,اس اسم کو کاغذ پر لکھ کر پانی سے دھو کر پانی جس چیز پر بھی چھڑکا جائے گا خیر و برکت ہوگی ۔
133,2,العَظِيمُ,Al-A’zim,بہت ہی بزرگ ، بہت بڑا,وہ جو بڑا رفیع الشان ہے,اس اسم کے بکثرت ورد کرنے والے کو انشاء اللہ تعالی عزت وعظمت حاصل ہوگی ۔
134,2,الغَفُورُ,Al-Ghafur,بہت بخشنے والا,وہ جو سب کچھ معاف کر دیتا ہے,جو شخص [یا غفور] کا بکثرت ورد رکھے گا اللہ تعالی اس کے مال اور اولاد میں برکت دے گا اور دکھ ، تکلیف ، رنج و غم دور ہوجائیں گے ۔
135,2,الشَّكُورُ,Ash-Shakur,قدردان,وہ جو اس کے لیے کئے جانے والے اعمال کو سراہتا ہے اور ان کو اجر دیتا ہے,معاشی تنگی یا دکھ تکلیف میں مبتلا شخص اگر روزانہ [۴۱] مرتبہ اس اسم کو پڑھے تو انشاء اللہ تعالی اس سے نجات پائے گا ۔
136,2,العَلِيُّ,Al-A’li,سب سے برتر و بلند,وہ جو بڑی بلندیوں والا ہے,اس اسم کو جو شخص ہمیشہ پڑھتا رھے اور اسے لکھ  کر اپںے پاس رکھے انشاء اللہ تعالی اسے رتبہ کی بلندی ، خوشحالی ، اور مقصد میں کامیابی حاصل ہوگی ۔
137,2,الكَبِيرُ,Al-Kabir,بہت بڑا,وہ جو عظیم ترین ہے,عہدے سے معزول شخص سات روزے رکھے اور روزانہ ایک ہزار مرتبہ [یا کبیر] پڑھے انشاء اللہ تعالی عہدہ بحال ہوجائے گا ۔
138,2,الحَفِيظُ,Al-Hafiz,سب کا نگہبان,وہ جو تمام کائنات کا محافظ ہے اور مقررہ مدت کے لیے نا گہانی آفتوں اور حادثات سے محفوظ رکھتا ہے,اس اسم کا بکثرت ورد کرنے اور لکھ کر اپنے پاس رکھنے والا  انشاء اللہ تعالی ہر قسم کے خوف و خطر و ضرر سے محفوظ رہے گا ۔
139,2,المُقِيتُ,Al-Muqit,توانائی بخشنے والا,وہ جو سب کو روزی اور توانائی دینے والا ہے,حصول مقصد کیلیےخالی آب خورے پر سات مرتبہ [یا مقیت] پڑھ کر دم کرے پھر اس آب خورے میں پانی پیے انشاء اللہ تعالی مقصد پورا حاصل ہوگا ۔
140,2,الحَسِيبُ,Al-Hasib,سب کے لیے کافی,وہ جو انسانوں کے زندگی بھر کے اعمالوں کے تفصیلی حسابوں سے واقف ہے,اگر کسی آدمی یا چیز کا ڈر ہو تو جمعرات کو شروع کرکے آٹھ یوم تک صبح و شام ستر [۷۰] مرتبہ [حسبی اللہ الحسیب] پڑھے ، انشاء اللہ تعالی ہر شر سے محفوظ رہے گا ۔
141,2,الجَلِيلُ,Al-Jalil,بلند مرتبت والا,وہ جو غنی، حاکم اور مقدس ہے,مشک و زعفران سے [یا جلیل] لکھ کر اپنے پاس رکھے اور بکثرت [یا جلیل] کا ورد رکھے تو انشاء اللہ تعالی عزت و عظمت ، قدرو منزلت حاصل ہوگی ۔
142,2,الكَرِيمُ,Al-Karim,بہت کرم کرنے والا,وہ جو بڑا کرم کرنے والا ہے,روزانہ یہ اسم پڑھتے پڑھتے اگر سوجایا کرے تو اسے علماء و صلحاء میں عزت نصیب ہوگی ۔
143,2,الرَّقِيبُ,Ar-Raqib,بڑا نگہبان,وہ جو اپنی مخلوق کی نگرانی کرتا ہے اور ہر فعل اس کے قبضہ قدرت میں ہے,جو شخص روزانہ سات مرتبہ [یا رقیب] پڑھ کر اپنے مال ، آل و اولاد پر دم کرے اور بکثرت اس کا ورد رکھے انشاء اللہ تعالی وہ سب آفتوں سے محفوط رہے گا ۔
144,2,المُجِيبُ,Al-Mujib,دعا قبول کرنے والا,جو اپنی مخلوق کی تمام حاجتوں کو پورا کرتا ہے,جو شخص روزانہ کثرت سے یہ اسم پڑھے گا اسکی دعائیں انشاء اللہ بارگاہ خدا وندی میں قبول ہونے لگیں گی ۔
145,2,الوَاسِعُ,Al-Wasi,گنجائش والا ، وسعت والا,وہ جو لامحدود وسعت اور رحمت بے پایاں کا حامل ہے,اللہ تعالی اس اسم کو بکثرت پڑھنے والے کے لیے غنائے ظاہری و باطنی کے در کشادہ فرما دیں گے ۔
146,2,الحَكِيمُ,Al-Hakim,بات کی تہ ، شے کی حقیقت جاننے والا,وہ جس کے تمام احکام و اعمال میں حکمت ہے,جو شخص بکثرت [یا حکیم] پڑھا کرےاس پر انشاء اللہ تعالی علم و حکمت کے دروازے کھل جائیں گے ۔ کوئی کام اٹکا ہوا ہو تو  اس اسم کو پابندی سے روزانہ بکثرت پڑھنے سے کام پورا ہوجاتا ہے ۔
147,2,الوَدُودُ,Al-Wadud,بڑا محبت کرنے والا,وہ جو اچھے عمل کرنے والوں سے محبت کرتا ہے اور ان پر رحم فرماتا ہے، وہ جو محبت کرنے کے لائق ہے اور جس کی دوستی منفعت بخش ہے,ایک ہزار مرتبہ یہ اسم پڑھ کر کوئی کھانے پر دم کرے اور اپنی بیوی کے ساتھ وہ کھانا کھائے تو انشاء اللہ تعالی میاں بیوی کے درمیان باہمی رنجش محبت میں بدل جائے گی ۔
148,2,المَجِيدُ,Al-Majid,بڑی بزرگی والا,وہ جو بڑی عظمت اور بزرگی والا ہے,اگر کوئی شخص کسی موذی مرض ، جذام ، آتشک وغیرہ میں مبتلا ہے تو چاند کی ۱۳،۱۴،۱۵ تاریخ کا روزہ رکھے اور افطار کے بعد [یا مجید] بکثرت پڑھ کر پانی میں دم کرکے پی لے تو انشاء اللہ تعالی صحت ہوگی ۔
149,2,البَاعِثُ,Al-Bais,مرنے کے بعد زندہ کرنے والا,وہ جو قیامت کے دن اپنی مخلوقات کو دوبارہ زندہ کرے گا,روزانہ رات کو سوتے وقت سینے پر ہاتھ رکھ کر ایک سو ایک [۱۰۱] مرتبہ [یا باعث] پڑھنے سے انشاء اللہ تعالی دل علم و حکمت سے بھر جائے گا ۔
150,2,الشَّهِيدُ,Ash-Shahid,حاظر و ناظر,وہ جو ہر جگہ موجود ہے اور تمام کائنات کا نگران ہے,نا فرمان بیوی یا اولاد کی پیشانی پر صبح کے وقت ہاتھ رکھ کر اکیس [۲۱] مرتبہ [یا شہید] پڑھ کر دم کرنے سے انشاء اللہ تعالی وہ فرماں بردار ہو جائیں گے ۔
151,2,الحَقُّ,Al-Haqq,برحق,وہ جس کے وجود میں کسی قسم کا تغیر و تبدل نہیں ہوتا,چوکور کاغذ کے چاروں کونوں پر [الحق] لکھے پھر سحر کے وقت کاغذ ہتھیلی پر رکھ کر آسمان کی طرف بلند کرے اور دعا کرے تو انشاء اللہ تعالی گمشدہ شخص یا سامان محفوظ مل جائے گا ۔
152,2,الوَكِيلُ,Al-Wakil,بڑا کارساز,وہ جو تمام مشکلات کو بہ طریق احسن حل کرنے والا ہے,کسی بھی آسمانی آفت کے خوف کے وقت [یا وکیل] کا بکثرت ورد انشاء اللہ تعالی ہر آفت سے محفوظ رکھے گا ۔
153,2,القَوِيُّ,Al-Qawi,قوت کا سرچشمہ,وہ جو سب سے زیادہ طاقتور ہے,جو شخص واقعی مظلوم ، کمزور و مغلوب ہو ، وہ ظالم دشمن کی قوت توڑنے کی نیت سے بکثرت اس اسم کو پڑھے انشاء اللہ تعالی اس سے محفوط رہے گا ۔ [ نا حق یہ عمل ہرگز نہ کرے]
154,2,المَتِينُ,Al-Matin,شدید قوت والا,وہ جو سب سے زیادہ مضبوط و مستحکم ہے,جب [المتین] کاغذ پر لکھ کر پانی سے دھوکر بے دودھ والی عورت کو پلائیں تو انشاء اللہ تعالی دودھ بڑھ جائے گا ۔
155,2,الوَلِيُّ,Al-Wali,حمایتی ، دوست,وہ جو اپنے فرماں بردار بندوں کا دوست ہے,جو شخص اپنے اہل خانہ کی عادات و خصائل سے خوش نہ ہو ، وہ جب ان کے سامنے جائے تو یہ اسم پڑھتا رہے  ، انشاء اللہ تعالی وہ نیک خصلت ہو جائیں گے ۔
156,2,الحَمِيدُ,Al-Hamid,تعریف کے لائق,وہ جس کی ذات لائق تعریف و توصیف ہے، جو بڑی بزرگی والا ہے اور جس کی تمام مخلوقات شکر گزار ہے,پینتالیس [۴۵] دن متواتر تنہائی میں [۹۳] مرتبہ روزانہ [یا حمید] پڑھنے والے کی بری عادتیں انشاء اللہ تعالی چھوٹ جائیں گی ۔
157,2,المُحصِى,Al Muhsi,دائرہ شمار میں گھیرے رکھنے والا,وہ جو ان تمام بے شمار اشیاء کا بھی شمار رکھتا ہے جن کا شمار ناممکن ہے اور وہ ہر چیز سے باخبر ہے,روٹی کے بیس ٹکڑوں پر روزانہ بیس مرتبہ یہ اسم پڑھ کر اگر کوئی شخص کھائے تو انشاء اللہ تعالی مخلوق خدا اس کی مسخر ہوگی ۔
158,2,المُبدِئُ,al-Mubdi,پہلی بار پیدا کرنے والا,وہ جس نے بغیر کسی مادے اور شکل کے کائنات کو پیدا کیا,حاملہ کے پیٹ پر ہاتھ رکھ کر [۹۹] مرتبہ [یا مبدئ] اگر پڑھا جائے تو انشاء اللہ تعالی نہ وہ حمل ساقط ہوگا اور نہ وقت سے پہلے بچہ پیدا ہوگا ۔
159,2,المُعِيدُ,Al-Muid,دوبارہ پیدا کرنے والا,وہ جو کل مخلوقات کو موت کے بعد دوبارہ زندہ کرنے والا ہے,گمشدہ کے لیے ۔ جب گھر کے تمام افراد سو جائیں تو گھر کے چاروں کونوں میں ستر ستر مرتبہ [یا معید] پڑھے ، انشاء اللہ تعالی سات روز میں آجائے گا یا پتہ چل جائے گا ۔
160,2,المُحيِى,Al-Muhyi,زندہ رکھنے والا,وہ جو زندگی اور صحت کا عطا کرنے والا ہے,بیمار شخص اگر بکثرت [یا محی] کا ورد رکھے تو انشاء اللہ تعالی اسے صحت ہوجائے گی ۔ اور جو کوئی شخص [۸۹] مرتبہ پڑھ کر اپنے اوپر دم کرے تو ہر طرح کی قید وبند سے  انشاء اللہ تعالی بچا رہے گا ۔
161,2,المُمِيتُ,Al-Mumit,موت دینے والا,وہ جس نے موت کو پیدا کیا,جس شخص کا نفس اپنے قابو میں نہ ہو وہ سوتے وقت [یا ممیت] پڑھتا پڑھتا سوجائے [ سینہ پر ہاتھ رکھ کر پڑھے ]  انشاء اللہ تعالی نفس مطیع ہوجائے گا ۔
162,2,الحَيُّ,Al-Hayy,دائم زندہ رہنے والا,وہ جو ہر چیز سے واقف ہے اور جس کی قوت ہر چیز کے لیے کافی ہے,جو شخص روزانہ تین ہزار [۳۰۰۰] مرتبہ [یا حی] کا ورد رکھے انشاء اللہ تعالی وہ کبھی بیمار نہ ہوگا ۔ جو بیمار مشک و گلاب سے چینی کے برتن پر یہ اسم لکھ کر میٹھے پانی سے دھوکر پی لے تو شفا پائے گا ۔
163,2,القَيُّومُ,Al-Qayyum,سب کو تھامنے والا,وہ جو تمام کائنات کو قائم رکھے ہوئے ہے,اس اسم کا بکثرت ورد رکھنے والے کی  انشاء اللہ تعالی لوگوں میں عزت اور ساکھ بڑھے گی ۔ تنہائی میں اسکا ورد رکھنے والا خوشحال ہو جائے گا ۔
164,2,الوَاجِدُ,Al-Wajid,ہر چیز پالینے والا,وہ جو جس چیز کی خواہش جس وقت کرتا ہے اسی وقت پالیتا ہے,کھانے کے وقت اس اسم کے ورد سے غذا قلب کی طاقت و قوت و نورانیت کا باعث ہوگی ۔
165,2,المَاجِدُ,Al-Majid,بزرگی اور بڑائی والا,وہ جو بزرگی والا ہے اور جس کی فیاضی اور بخشش کا کوئی حساب نہیں ہے,تنہائی میں یہ اسم اس قدر پڑھا جائے کہ بے خود ہوجائے تو  انشاء اللہ تعالی قلب پر نور الہیہ ظاہر ہونگے ۔
166,2,الأَحَدُ,Al-Wahid,اکیلا,وہ جو ناقابل تقسیم ہے اور نہ ہی اس کی تعداد بڑھ سکتی ہے,ایک ہزار مرتبہ روزانہ [یا احد] پڑھنے والے کے دل سے مخلوق کی محبت و خوف نکل جائے گا ۔ بے اولاد اس اسم کو لکھ کر اپنے پاس رکھ لے تو  انشاء اللہ تعالی وہ صاحب اولاد ہوجائے گا ۔
167,2,الصَّمَدُ,As-Samad,بے نیاز,وہ جو ہر تکلیف کو دور کرنے والا ہے اور ہر حاجت کو پوری کرنے والا ہے,سحر کے وقت سر بسجدہ ہوکر [۱۲۵] مرتبہ یہ اسم پڑھنے سے  انشاء اللہ تعالی ظاہری و باطنی سچائی نصیب ہوگی ۔ با وضو شخص [یا صمد] کا ورد رکھنے والا  انشاء اللہ تعالی مخلوق سے بے نیاز ہوجائے گا ۔
168,2,القَادِرُ,Al-Qadir,گرفت والا,وہ جو ہر کام اپنی مرضی کے مطابق کرنے کی قدرت رکھتا ہے,برسر حق شخص دو رکعت نفل پڑھنے کے بعد صدق دل سے ایک سو [۱۰۰] مرتبہ [یا قادر] پڑھے تو اللہ تعالی اس کے دشمنوں کو ذلیل و رسوا کریں گے ۔ کوئی دشواری پیش آجائے تو [۴۱] مرتبہ [یا قادر] پڑھنے سے  انشاء اللہ تعالی دور ہوجائے گی ۔
169,2,المُقتَدِرُ,Al-Muqtadir,پوری قدرت والا,وہ جو کائنات کی ہر شے سے زیادہ قوی ہے,سو کر اٹھنے پر بکثرت یا بیس مرتبہ [یا مقتدر] کا ورد کرنے سے تمام کام آسان ہوں گے ۔
170,2,المُقَدِّمُ,Al-Muqaddim,آگے بڑھانے والا,وہ جو اپنے نیک بندوں کو آگے بڑھاتا ہے,ہنگامی جنگ [یا مقدم] کے بکثرت ورد کرنے سے  انشاء اللہ تعالی پیش قدمی کی قوت حاصل ہوگی اور دشمنوں سے حفاظت ہوگی ۔
171,2,المُؤَخِّرُ,Al-Muakhir,پیچھے ہٹانے والا,وہ جس کو بھی چاہتا ہے مؤخر کردیتا ہے,جو شخص ایک سو [۱۰۰] مرتبہ روزانہ پابندی سے [یا مؤخر] پڑھے گا ۔ اسے اللہ تعالی جلّ شانہ کا ایسا قرب نصیب ہوگا کہ بغیر اسکے بے چین رہے گا ۔ بکثرت ورد سے انشاء اللہ تعالی سچی توبہ کی توفیق بھی نصیب ہوگی ۔
172,2,الأَوَّلُ,Al-Awwal,پہلا,وہ جو سب سے پہلے موجود ہے,جس کے ہاں نرینہ نہ ہوتی ہو وہ چالیس یوم روزانہ [۴۰] مرتبہ [یا اول] پڑھے انشاء اللہ تعالی مراد پوری ہوگی ۔
173,2,الآخِرُ,Al-Akhir,سب کے بعد,وہ جو سب کے فنا ہونے کے بعد بھی موجود رہے گا,روزانہ ایک ہزار مرتبہ یہ اسم پڑھنے والے کے دل سے غیر اللہ کی محبت نکل جائے گی اور انشاء اللہ تعالی خاتمہ بالخیر ہوگا ۔
174,2,الظَّاهِرُ,Az-Zahir,آشکارا,وہ جس کی قدرت کائنات کی ہر شے میں ظاہر ہےاور کائنات کی ہر شے اس کے موجود ہونے کی گواہی دیتی ہے,نماز اشراق کے بعد اگر کوئی شخص یہ اسم پانچ سو [۵۰۰] مرتبہ ورد رکھے تو انشاء اللہ تعالی اللہ تبارک و تعالی اس کی آنکھوں میں روشنی اور دل میں نور عطا فرمائیں گے ۔
175,2,البَاطِنُ,Al-Batin,پوشیدہ,وہ جو سب سے پوشیدہ ہے,روزانہ تینتیس مرتبہ [یا باطن] کا ورد کرنے سے باطنی اسرار منکشف ہونے لگتے ہیں اور پڑھنے والے کے دل میں محبت الہی پیدا ہوتی ہے ۔
176,2,الوَالِي,Al-Wali,با اقتدار متصرف,وہ جو کل کائنات کا انتظام و انصرام کرتا ہے، ہر شے پر نگرانی رکھتا ہے اور کائنات میں کسی بھی لمحے وقوع پذیر ہونے والے واقعات کے ہونے اور نہ ہونے پر قدرت رکھتا ہے,اس اسم کا بکثرت ورد آفات ناگہانی سے بچاتا ہے ۔ کورے آب خورے پر لکھ کر ار اس میں پانی بھر کر گھر میں چھڑکنے سے مکان بھی آفات سے محفوظ ہو جاتا ہے ۔
177,2,المُتَعَالِي,Al-Muta’ali,سب سے بلند و برتر,وہ جو انسانوں کے افعال و اعمال و افکار سے بہت بلند و بالا ہے,اس اسم کا بکثرت ورد رکھنے سے انشاء اللہ تعالی تمام مشکلات رفع ہوں گی ۔ عورت اگر ایام ماہواری میں بکثرت [یا متعالی] کا ورد رکھے تو انشاء اللہ تعالی تکلیف سے محفوظ رہے گی ۔
178,2,البَرُّ,Al-Bar,بہتر سلوک کرنے والا,وہ جو اپنے بندوں کی خطاؤں پر عفو سے کام لیتا ہے اور اپنی تمام مخلوق کے ساتھ اچھا برتاؤ کرتا ہے,اگر کوئی بدکار یا شرابی شخص روزانہ سات مرتبہ پابندی سے یہ اسم [یا برّ] پڑھتا رہے تو گناہ اور شراب کی رغبت انشاء اللہ تعالی جاتی رہے گی ۔ بچہ کی پیدائش پر سات مرتبہ [یا برّ] پڑھ کر دم کرنے اور اس کو اللہ تعالی کے سپرد کردینے سے بچہ جوانی تک تمام آفات سے محفوظ رہے گا ، انشاء اللہ تعالی ۔
179,2,التَّوَّابُ,At-Tawwab,بہت جلد توبہ قبول کرنے والا,وہ ذات جو اپنے بندوں کو توبہ کی توفیق عطا کرتی ہے,نماز چاشت کے بعد تین سو ساٹھ [۳۶۰] مرتبہ [یا تواب] کا ورد رکھنے والے کو انشاء اللہ تعالی سچی توبہ نصیب ہوگی ۔ اس اسم کے بکثرت ورد رکھنے والے کے انشاء اللہ تعالی تمام کام آسان ہوجا ئیں گے ۔
180,2,المُنتَقِمُ,Al-Muntaqim,بدلہ لینے کی قوت رکھنے والا,وہ جو غلط کاروں کو سزا دیتا ہے,بر سرحق شخص جس میں اپنے دشمن سے بدلہ لینے کی قدرت نہ ہو تو تین جمعہ تک [یا منتقم] کا بکثرت ورد کرے ۔ اللہ تعالی خود اس ظالم سے نمٹ لیں گے ۔
181,2,العَفُوُّ,Al-A’fuw,بہت درگزر کرنے والا,وہ جو دل سے معافی چاہنے والون کو اسطرح معاف کرتا ہے جیسے انہوں نے کبھی گناہ کیا ہی نہ ہو,اس اسم کو کثرت سے پڑھنے کی وجہ سے انشاء اللہ تعالی پڑھنے والے کے تمام گناہ معاف ہوجائیں گے ۔
182,2,الرَّؤُوفُ,Ar-Rauf,مشفق و مہربان,وہ جو بڑا مشفق و مہربان ہے,بکثرت [یا رؤوف] کا ورد رکھنے سے انشاء اللہ تعالی مخلوق اس پر مہربان ہوجائے گی اور یہ مخلوق پر ۔ دس مرتبہ درور شریف اور دس دفعہ [یا رؤوف] پڑھنے سے غصہ رفع ہوجاتا ہے ۔
183,2,مَالِكَ المُلكِ,Malik ul-Mulk,کائنات کا کلی مالک,کائنات پر جس کی حکومت لازوال ہے,جو شخص ہمیشہ [یا مالک الملک] پڑھتا رہے گا اللہ تعالی اس کو غنی اور لوگوں سے بے نیاز کردیں گے ۔ وہ شخص کسی کا محتاج نہیں رہے گا ۔
184,2,ذُو الجَلَالِ وَ الإِكرَامِ,Dhul -Jalali wal-Ikram,جلال اور کرم والا,وہ ذات جو صاحب جلال، کمال و اقتدار ہے اور اپنے بندوں کو نوازتی ہے,اس اسم کا بکثرت ورد رکھنے سے اللہ تعالی اس کو عزت و عظمت اور مخلوق سے استغناء نصیب فرمادیں گے ۔
185,2,المُقسِطُ,Al-Muqsit,عادل و منصف,وہ جس کا ہر کام انصاف و توازن کا آئینہ دار ہے,کسی خاص اور جائز مقصد کے لیے سات سو [۷۰۰] مرتبہ [یا مقسط] پڑھنے سے انشاء اللہ تعالی مقصد حاصل ہوگا ۔ اور جو شخص روزانہ [یا مقسط] کا ورد رکھے وہ شیطانی وسوسوں سے محفوظ رہے گا ۔
