ID,NAME,DESCRIPTION,TRANSLATION,NAME_1,AUDIO_PATH,MASTER_ID,SORT_ORDER,URDU_TITLE,PERSIAN_TITLE,ARABIC_TITLE,HINDI_TITLE,FRENCH_TITLE,TYPE,FILE_NAME,REF_CAT_ID,REF_TRANS_ID,URDU_NAME,URDU_COUNT
33,In Asking for the Best,His Supplication in Asking for the Best,"O God, I ask from Thee the best in Thy knowledge, so bless Muhammad and his Household and decree for me the best! Inspire us with knowledge to chose the best and make that a means to being pleased with what Thou hast decreed for us and submitting to what Thou hast decided! Banish from us the doubt of misgiving and confirm us with the certainty of the sincere!
Visit us not with incapacity to know what Thou hast chosen, lest we despise Thy measuring out, dislike the place of Thy good pleasure, and incline toward that which is further from good outcome and nearer to the opposite of well-being! Make us love what we dislike in Thy decree and make easy for us what we find difficult in Thy decision! Inspire us to yield to that which Thou bringest upon us by Thy will, lest we love the delay of what Thou hast hastened and the hastening of what Thou hast delayed, dislike what Thou lovest, and choose what Thou dislikest! Seal us with that which is most praised in outcome and most generous in issue! Surely Thou givest generous gain, bestowest the immense, dost what Thou wilt, and Thou art powerful over everything.",(Supplication - 33),sajjadiyya_33.mp3,1,33,دعائے استخارہ,دعا در استخاره و درخواست خیر و نیکی,33-  دُعَاؤُهُ فِي الِاسْتِخَارَةِ.,दुआए इस्तेख़ारा,Demander le bien,R,,1.0,57.0,,
34,When Afflicted,His Supplication when he was Afflicted or saw Someone Afflicted with the Disgrace of Sin,"1- O God, to Thee belongs praise for Thy covering over after Thy knowledge
and Thy pardon after Thy awareness!
Each of us has committed faults, but Thou hast not made him notorious,
done indecencies, but Thou hast not disgraced him,
and covered over evil deeds, but Thou hast not pointed to him.

2- How many are Thy prohibited acts which we have performed,
Thy commandments of which Thou hast told us
which we have transgressed,
the evil deeds which we have earned,
the offenses which we have committed!
Thou seest them to the exclusion of all observers;
Thou hast the power to make them public above all the powerful!
By giving us safety Thou hast veiled their eyes
and stoppled their ears.

3- So make the shameful things Thou hast covered over
and the inward reality Thou hast concealed
our admonisher,
a restrainer upon bad character traits and committing offenses,
and a striving toward the repentance that erases [sins]
and the praiseworthy path!

4- Bring the time of striving near
and visit us not with heedlessness of Thee!
Surely we are Thy beseechers,
the repenters of sins.

5- And bless Thy chosen, O God, from Thy creation,
Muhammad and his descendants,
the friends selected from among Thy creatures, the pure,
and make us listeners to them and obeyers,
as Thou hast commanded!",(Supplication - 34),sajjadiyya_34.mp3,1,34,گناہوں کی رسوائی سے بچنے کی دعا,دعا برای رسوایی در گناه,34-  دُعَاؤُهُ إِذَا ابْتُلِيَ أَوْ رَأَى مُبْتَلًى,जब ख़ुद या किसी को गुनाहों की रूसवाई में मुब्तिला देखते तो यह दुआ पढ़ते,Etre pris dans le péché,D,,,,,
35,In Satisfaction with the Decree,His Supplication in Satisfaction when he Looked upon the Companions of this World,"1- Praise belongs to God in satisfaction with God's decision!
I bear witness that God has apportioned the livelihoods of His servants with justice
and undertaken bounty for all His creatures.

2- O God, bless Muhammad and his Household,
tempt me not with what Thou hast given to Thy creatures
and tempt them not with what Thou hast withheld from me.
Lest I envy Thy creatures
and despise Thy decision!

3- O God, bless Muhammad and his Household,
delight my soul through Thy decree,
expand my breast through the instances of Thy decision,
give to me a trust through which I may admit
that Thy decree runs only to the best,
and let my gratitude to Thee for what Thou hast taken away from me
be more abundant than my gratitude to Thee
for what Thou hast conferred upon me!

4- Preserve me from imagining any meanness
in someone who is destitute
or imagining any superiority in someone who possesses wealth,
for the noble is he whom obedience to Thee has ennobled
and the exalted is he whom worship of Thee has exalted!

5. So bless Muhammad and his Household,
give us to enjoy a wealth
which does not run out,
confirm us with an exaltation which will never be lost,
and let us roam freely
in the kingdom of everlastingness!
Surely Thou art the One, the Unique, the Eternal Refuge;
Thou hast not begotten,
nor hast Thou been begotten,
and equal to Thee is not any one!",(Supplication - 35),sajjadiyya_35.mp3,1,35,رضاۓ الہی پر خوش رہنے کی دعا,دعا در رضا و خشنودی به داده‌های الهی,35-  دُعَاؤُهُ فِي الرِّضَا بِالْقَضَاءِ.,जब अहले दुनिया को देखते तो राज़ी ब रिज़ा रहने के लिये यह दुआ पढ़ते,Satisfaction de la volonté divine,D,,,,,
36,Upon Hearing Thunder,His Supplication when he Looked upon Clouds and Lightening and Heard the Sound of Thunder,"1- O God, these are two of Thy signs
and these are two of Thy helpers.
They rush to obey Thee
with beneficial mercy
or injurious vengeance,
so rain not down upon us from them
the evil rain1
and clothe us not through them
in the garment of affliction!

2- O God,
bless Muhammad and his Household,
send down upon us the benefit of these clouds
and their blessing,
turn away from us their harm and their injury,
strike us not through them with blight,
and loose not upon our livelihoods any bane!

3- O God,
if Thou hast incited them as vengeance
and loosed them in anger,
we seek sanctuary with Thee from Thy wrath
and implore Thee in asking Thy pardon!
So incline with wrath toward the idolaters
and set the millstone of Thy vengeance
turning upon the heretics!2

4- O God,
take away the barrenness of our lands
with Thy watering,
dislodge the malice from our breasts
with Thy providing,
distract us not from Thee through other than Thee,
and cut none of us off
from the stuff of Thy goodness,
for the rich is he to whom Thou hast given riches,
and the safe he whom Thou hast protected!

5- No one has any defense against Thee,
nor any means to bar Thy penalty.
Thou decidest what Thou wilt for whom Thou wilt
and Thou decreest what Thou desirest
for any whom Thou desirest!

6- So to Thee belongs praise for protecting us from affliction
and to Thee belongs thanks for conferring upon us blessings,
a praise which will leave behind the praise of the praisers,
a praise which will fill the earth and the heaven!

7- Surely Thou art the All-kind through immense kindnesses,
the Giver of abounding favours,
the Accepter of small praise,
the Grateful for little gratitude,
the Beneficent, the Benevolent,
Possessor of graciousness!
There is no god but Thou;
unto Thee is the homecoming.",(Supplication - 36),sajjadiyya_36.mp3,1,36,جب بادل اور بجلی کو دیکھتے اور رعد کی آواز سنتے تو یہ دعا پڑھتے,دعا هنگام نظر به ابر و برق و شنیدن بانگ رعد,36-  دُعَاؤُهُ عِنْدَ سَمَاعِ الرَّعْدِ.,जब बादल और बिजली को देखते और कड़क कि आवाज़ सुनते तो यह दुआ पढ़ते,Au moment de l’orage,D,,,,,
37,In Giving Thanks,His Supplication when Confessing his Shortcomings in Giving Thanks,"1. O God,
no one reaches a limit in thanking Thee
without acquiring that of Thy beneficence
which enjoins upon him thanksgiving,

2- nor does anyone reach a degree in obeying Thee, even if he strives,
without falling short
of what Thou deservest because of Thy bounty.

3- The most thankful of Thy servants has not the capacity to thank Thee,
and the most worshipful of them falls short of obeying Thee.

4- To none of them is due
Thy forgiveness through what he himself deserves
or Thy good pleasure for his own merit.

5- When Thou forgivest someone, it is through Thy graciousness,
and when Thou art pleased with someone, it is through Thy bounty.

6- Thou showest gratitude for the paltry for which Thou showest gratitude1
and Thou rewardest the small act in which Thou art obeyed,
so that it seems as if Thy servants' thanksgiving
for which Thou hast made incumbent their reward and made great their repayment
is an affair from which they could have held back without Thee,
and hence Thou wilt recompense them,
and whose cause is not in Thy hand,
and hence Thou wilt repay them.

7- Nay, my God, Thou hadst power over their affair
before they had power to worship Thee,
and Thou hadst prepared their reward
before they began to obey Thee;
and that because Thy wont is bestowal of bounty,
Thy custom beneficence,
Thy way pardon.

8- So all creatures confess
that Thou wrongest not him whom Thou punishest
and bear witness that Thou bestowest bounty upon him whom Thou pardonest.
Each admits that he has fallen short of what Thou meritest.

9- Had Satan not misled them from Thy obedience,
no disobeyer would have disobeyed Thee,
and had he not shown falsehood to them in the likeness of truth
no strayer would have gone astray from Thy path.

10- So glory be to Thee!
How manifest is Thy generosity in dealing with him who obeys or disobeys Thee!
Thou showest gratitude to the obedient
for that which Thou undertakest for him,
and Thou grantest a respite to the disobedient
in that within which Thou art able to hurry him.

11- Thou givest to each of them that which is not his due,
and Thou bestowest bounty upon each
in that wherein his works fall short.

12- Wert Thou to counterbalance for the obedient servant
that which Thou Thyself hadst undertaken,
he would be on the point of losing Thy reward
and seeing the end of Thy favour,
but through Thy generosity Thou hast repaid him
for a short, perishing term with a long, everlasting term,
and for a near, vanishing limit with an extended, abiding limit.

13- Then Thou dost not visit him with a settling of accounts for Thy provision
through which he gained strength to obey Thee,
nor dost Thou force him to make reckonings
for the organs he employed
to find the means to Thy forgiveness.
Wert Thou to do that to him,
it would take away everything for which he had laboured
and all wherein he had exerted himself
as repayment for the smallest of Thy benefits
and kindnesses,
and he would remain hostage before Thee
for Thy other favours.
So how can he deserve something of Thy reward?
Indeed, how?

14- This, my God, is the state of him who obeys Thee
and the path of him who worships Thee.
But as for him who disobeys Thy command
and goes against Thy prohibition,
Thou dost not hurry him to Thy vengeance,
so that he may seek to replace
his state in disobeying Thee
with the state of turning back to obey Thee,
though he deserved from the time he set out to disobey Thee
every punishment which Thou hast prepared
for all Thy creatures.

15- Through each chastisement which Thou hast kept back from him
and each penalty of Thy vengeance and Thy punishment which Thou hast delayed from him,
Thou hast refrained from Thy right
and shown good pleasure
in place of what Thou hast made obligatory.

16- So who is more generous, my God, than Thou?
And who is more wretched than he who perishes
in spite of Thee?
Indeed, who?
Thou art too blessed to be described by any but beneficence
and too generous for any but justice to be feared from Thee!
There is no dread that Thou wilt be unjust
toward him who disobeys Thee,
nor any fear of Thy neglecting to reward
him who satisfies Thee.2
So bless Muhammad and his Household,
give me my hope,
and increase me in that of Thy guidance
through which I may be successful in my works!
Surely Thou art All-kind, Generous.",(Supplication - 37),sajjadiyya_37.mp3,1,37,جب ادائے شکر میں کوتاہی کا اعتراف کرتے تو یہ دعا پڑھتے,دعا در اعتراف به ناتوانی از شکر,37-  دُعَاؤُهُ فِي الشُّكْرِ.,जब अदाए शुक्र में कोताही को क़बूल करते तो यह दुआ पढ़ते,Négliger le remerciement à Dieu,D,,,,,
38,In Asking Pardon,His Supplication in Asking Pardon for Misdeeds to God's Servants and for Falling Short  in their Rights and that his Neck be Set Free from the Fire,"1- O God, I ask pardon from Thee for
the person wronged in my presence whom I did not help,
the favour conferred upon me for which I returned no thanks,
the evildoer who asked pardon from me and whom I did not pardon,
the needy person who asked from me and whom I preferred not over myself,
the right of a believer who possesses a right incumbent upon me which I did not fulfil,
the fault of a believer which became evident to me and which I did not conceal,
and every sin which presented itself to me and which I failed to avoid.

2- I ask pardon, my God,
for all of these and their likes,
with an asking of pardon in remorse
which may act as an admonisher
against similar things ahead of me.

3- So bless Muhammad and his Household
and make my remorse
for the slips into which I have fallen
and my determination to refrain from the evil deeds which present themselves to me
a repentance which will make Thy love for me obligatory
O lover of those who repent!",(Supplication - 38),sajjadiyya_38.mp3,1,38,عذر و طلب مغفرت کے سلسلہ میں دعا,دعا در پوزش از کوتاهی در حقوق بندگان و طلب آزادی از آتش,38-  دُعَاؤُهُ فِي الِاعْتِذَارِ.,बन्दों की हक़तलफ़ी और उनके हुक़ूक़ में कोताही से माफ़ी और मग़फ़ेरत तलबी और दोज़ख़ से गुलू ख़लासी के लिये दुआ,Demander le pardon pour ses injustices,D,,,,,
39,In Seeking Pardon and Mercy,His Supplication in Seeking Pardon and Mercy,"1- O God, bless Muhammad and his Household,
break my passion for every unlawful thing,
take away my craving for any sin,
and bar me from harming any believer, male or female,
and any Muslim, male or female!

2- O God, if any of Thy servants should harm me in what Thou hast forbidden
or violate me in what Thou hast interdicted,
and if he should pass into death with my complaint
or I come to have a complaint against him while he is alive,
forgive him what he did to me
and pardon him that through which he turned his back on me!
Inquire not from him about what he committed toward me
and expose him not through what he earned by me!
Make my open-handedness in pardoning such servants
and my contribution in charity toward them
the purest charity of the charitable
and the highest gift of those seeking nearness to Thee!

3- Recompense me for my pardoning them with Thy pardon
and for my supplicating for them with Thy mercy
so that each one of us may gain felicity through Thy bounty
and each may attain deliverance through Thy kindness!

4- O God, if there is a servant from among Thy servants whom
an ill visits on my account,
a harm touches from my direction,
or a wrong overtakes through me or because of me,
and should I fail to take care of his right
or go before him [in death] with his complaint,
bless Muhammad and his Household,
satisfy him toward me through Thy wealth,
and give him his full right from Thyself!

5- Then protect me from what Thy decision mandates
and save me from what Thy justice decides,
for my strength cannot bear Thy vengeance
and my power cannot stand up to Thy displeasure!
If Thou recompensest me with the right,
Thou wilt destroy me,
and if Thou dost not shield me in Thy mercy,
Thou wilt lay me waste.

6- O God, I ask Thee to grant, my God,
that whose giving will not decrease Thee,
and I ask Thee to carry
that whose carrying will not weigh Thee down:

7- My God, I ask Thee to give my soul,
which Thou didst not create to keep Thyself from evil
nor to find the way to profit.
No, Thou brought it forth
to demonstrate Thy power over its like
and to provide an argument against its similar.

8- I ask Thee to carry those of my sins whose carrying weighs me down
and I seek help from Thee in that whose heaviness oppresses me.

9- So bless Muhammad and his Household,
give to me my soul in spite of its wrongdoing,1
and appoint Thy mercy to carry my burden!
How many evildoers Thy mercy has overtaken!
How many wrongdoers Thy pardon has embraced!

10- So bless Muhammad and his Household
and make me the model of him whom Thou hast
aroused through Thy forbearance
from the deadly infirmities of the Senders
and saved through Thy giving success from the tangled plights of the sinners,
so that I may rise up freed by Thy pardon from the bonds of Thy displeasure
and released by Thy benefaction from the ties of Thy justice!

11- Surely if Thou dost that, my God,
Thou wilt do it to one who does not
deny deserving Thy punishment
or acquit himself from merit for Thy vengeance.

12- Do that, my God, for one
whose fear of Thee is greater than his craving from Thee,
whose hopelessness of deliverance is firmer than his hope for salvation!
Not that his hopelessness is despair,
nor that his expectation is deluded.
No, rather his good deeds are few
among his evil deeds
and his arguments are frail
in face of everything due from his acts.

13- But Thou, my God, art worthy that
the righteous not be deluded concerning Thee
and the sinners not lose hope in Thee,
for Thou art the All-mighty Lord who
holds back His bounty from none
and takes His full right from no one.

14- High exalted is Thy mention above those mentioned!
Holy are Thy names beyond those described!
Spread is Thy favour among all creatures!
Thine is the praise for that,
O Lord of the worlds!",(Supplication - 39),sajjadiyya_39.mp3,1,39,طلب عفو و رحمت کی دعا,دعا در طلب عفو و بخشش,39-  دُعَاؤُهُ فِي طَلَبِ الْعَفْوِ.,माफ़ी और रहमत की दुआ,Demander le pardon et la miséricorde,D,,,,,
40,When Death was Mentioned,His Supplication when Someone's Death was Announced to him or when he Remembered Death,"1- O God, bless Muhammad and his Household,
spare us drawn out expectations
and cut them short in us through sincerity of works,
that we may not hope expectantly for completing an hour after an hour,
closing a day after a day,
joining a breath to a breath,
or overtaking a step with a step!

2- Keep us safe from the delusions of expectations,
make us secure from their evils,
set up death before us in display. and let not our remembering of it come and go!

3- Appoint for us from among the righteous works a work
through which we will feel the homecoming to Thee as slow
and crave a quick joining with Thee,
so that death may be our intimate abode with which we are intimate,
our familiar place toward which we yearn,
and our next of kin whose coming we love!

4- When Thou bringest it to us and sendest it down upon us,
make us happy with it as a visitor, comfort us with its arrival,
make us not wretched through entertaining it,
degrade us not through its visit,
and appoint it one of the gates to Thy forgiveness
and the keys to Thy mercy!

5- Make us die guided, not astray,
obedient, not averse,
repentant, not disobedient or persisting,
O He who guarantees the repayment of the good-doers
and seeks to set right the work of the corrupt!",(Supplication - 40),sajjadiyya_40.mp3,1,40,موت کو یاد کرنے کے وقت کی دعا,دعا به وقت یاد مرگ,40-  دُعَاؤُهُ عِنْدَ ذِكْرِ الْمَوْتِ.,जब किसी की ख़बरे मर्ग सुनते या मौत को याद करते तो यह दुआ पढ़ते,Penser à la mort,D,,,,,
41,In Asking for Covering and Protection,His Supplication in Asking for Covering and Protection,"1- O God,
bless Muhammad and his Household,
spread for me the bed of Thy honour,
bring me to the wateringholes of Thy mercy,
set me down in the midst of Thy Garden,
stamp me not with rejection by Thee,
deprive me not through disappointment by Thee,

2- settle not accounts with me for what I have committed,
make no reckoning with me for what I have earned,
display not what I have hidden,
expose not what I have covered over,
weigh not my works on the scales of fairness,
and make not my tidings known to the eyes of the crowd!

3- Conceal from them everything whose unfolding would shame me
and roll up before them all which would join me to disgrace with Thee!

4- Ennoble my degree through Thy good pleasure,
perfect my honour through Thy forgiveness,
rank me among the companions of the right hand,
direct me to the roads of the secure,
place me in the throng of the triumphant,
and through me let the sessions of the righteous thrive!1
Amen, Lord of the worlds!",(Supplication - 41),sajjadiyya_41.mp3,1,41,پردہ پوشی و نگہداشت کی دعا,دعا در درخواست پرده‌پوشی و حفظ شدن از حادثه‌ها,41-  دُعَاؤُهُ فِي طَلَبِ السَّتْرِ والْوِقَايَةِ.,पर्दापोशी और हिफ़्ज़ व निगेहदाश्त के लिये यह दुआ पढ़ते,Feindre d’ignorer les péchés,D,,,,,
42,Upon Completing a Reading of the Qur'an,His Supplication upon Completing a Reading of the Qur’an,"O God, Thou hast helped me complete Thy Book, which Thou sent down as a light and appointed as a guardian over every book Thou hast sent down, preferring it over every narrative which Thou hast recounted, a separator, through which Thou hast separated Thy lawful from Thy unlawful, a Qur'an, through which Thou hast made plain the approaches to Thy ordinances, a book, which Thou hast distinguished very distinctly for Thy servants, a revelation, which Thou hast sent down, a sending down, upon Thy prophet Muhammad (Thy blessings be upon him and his Household).
Thou appointed it a light through following which we may be guided from the shadows of error and ignorance, a healing for him who turns ear toward hearing it with the understanding of attestation, a just balance whose tongue does not incline away from truth, a light of guidance whose proof is not extinguished before the witnesses, and a guidepost of deliverance, so that he who repairs straightway to its prescription will not go astray and he who clings to its preservation's handhold will not be touched by the hands of disasters.
O God, since Thou hast given us help to recite it and made smooth the roughness of our tongues through the beauty of its expression, place us among those who observe it as it should be observed, serve Thee by adhering in submission to the firm text of its verses, and seek refuge in admitting both its ambiguous parts and the elucidations of its clear signs!
O God, Thou sent it down upon Thy prophet Muhammad (God bless him and his household) in summary form, Thou inspired him with the science of its wonders to complement it, Thou made us the heirs of its knowledge as interpreters, Thou made us to surpass him who is ignorant of its knowledge, and Thou gave us strength over it to raise us above those not able to carry it. O God, just as Thou hast appointed our hearts as its carriers and made known to us through Thy mercy its nobility and excellence, so also bless Muhammad, its preacher, and his Household, its guardians, and place us among those who confess that it has come from Thee, lest doubt about attesting to it assail us, or deviation from its straightforward path shake us!
O God, bless Muhammad and his Household and make us one of those who hold fast to its cord, seek haven from its ambiguities in its fortified stronghold, rest in the shadow of its wing, find guidance in the brightness of its morning, follow the shining of its disclosure, acquire light from its lamp, and beg not guidance from any other! O God, just as through it Thou hast set up Muhammad as a guidepost to point to Thee and through his Household Thou hast made clear Thy good pleasure's roads to Thee, so also bless Muhammad and his Household and make the Qur'an our mediation to the noblest stations of Thy honour, a ladder by which we may climb to the place of safety, a cause for our being repaid with deliverance at the Plain of Resurrection, and a means whereby we may reach the bliss of the House of Permanence!
O God, bless Muhammad and his Household, lessen for us through the Qur'an the weight of heavy sins, give to us the excellent qualities of the pious, and make us follow the tracks of those who stood before Thee in the watches of the night and the ends of the day, such that Thou purifiest us from every defilement through its purification and makest us to follow the tracks of those who have taken illumination from its light and whom expectation has not distracted from works, cutting them off through its delusions' deceptions! O God, bless Muhammad and his Household and appoint the Qur'an for us an intimate in the shadows of nights and a guardian against the instigations of Satan and confusing thoughts, for our feet an obstruction from passing to acts of disobedience, for our tongues a silencer without blight preventing a plunge into falsehood, for our limbs a restrainer from committing sins, and for the scrutiny of heedfulness rolled up in heedlessness an unroller, such that Thou attachest to our hearts the understanding of the Qur'an's wonders and its restraining similitudes which immovable mountains in all their solidity were too weak to carry!
O God, bless Muhammad and his Household and through the Qur'an make permanent the rightness of our outward selves, veil the ideas of confusing thoughts from the soundness of our innermost minds, wash away the dirt of our hearts and the ties of our heavy sins, gather our scattered affairs, quench the thirst of our burning heat in the standing place of the presentation to Thee, and clothe us in the robes of security on the Day of the Greatest Terror at our uprising!
O God, bless Muhammad and his Household and through the Qur'an redress our lack our destitution in poverty drive toward us the comforts of life and an abundance of plentiful provisions, turn aside blameworthy character traits and base moral qualities, and preserve us from the pit of unbelief and the motives for hypocrisy, such that the Qur'an may be for us at the resurrection a leader to Thy good pleasure and Thy gardens, for us in this world a protector against Thy displeasure and transgressing Thy bounds and for what is with Thee a witness by its declaring lawful the lawful and its declaring unlawful the unlawful!
O God, bless Muhammad and his Household and through the Qur'an make easy for our souls at death the distress of the driving, the effort of the moaning, and the succession of the rattling, when souls reach the throats and it is said, 'Where is the enchanter?'; when the angel of death discloses himself to seize them from behind the veils of unseen things, letting loose at them from the bow of destinies the arrows of the terror of lonesome separation, and mixing for them from sudden death a cup poisoned to the taste; and when departure and release for the hereafter come close to us, works become collars around the necks, and the graves become the haven until the appointed time of the Day of Encounter!
O God, bless Muhammad and his Household, make blessed for us the arrival at the house of decay and the drawn out residence between the layers of the earth, appoint the graves, after separation from this world, the best of our waystations, make roomy for us through Thy mercy the narrowness of our tombs, and disgrace us not among those present at the Resurrection through our ruinous sins! Through the Qur'an have mercy upon the lowliness of our station at the standing place of presentation to Thee, make firm the slips of our feet during the shaking of the bridge across hell on the day of passage over it, illuminate the darkness of our graves before the Uprising, and deliver us from every distress on the Day of Resurrection and from the hardships of terrors on the Day of Disaster! Whiten our faces on the day when the faces of wrongdoers are blackened during the Day of Regret and Remorse, appoint love for us in the breasts of the faithful, and make not life for us troublesome! O God, bless Muhammad, Thy servant and Thy messenger, just as He delivered Thy message, executed Thy command, and counselled Thy servants!
O God, on the Day of Resurrection make our Prophet (Thy blessings be upon him and his Household) the nearest of the prophets to Thee in seat, the ablest of them before Thee with intercession, the greatest of them with Thee in measure, and the most eminent of them with Thee in rank! O God, bless Muhammad and the Household of Muhammad, ennoble his edifice, magnify his proof, make weighty his balance, accept his intercession, bring near his mediation, whiten his face, complete his light, and raise his degree! Make us live according to his Sunna, make us die in his creed, take us on his road, make us travel his path, place us among the people who obey him, muster us in his band, lead us to up his pool, and give us to drink of his cup!
And bless Muhammad and his Household, with a blessing through which Thou wilt take him to the most excellent of Thy good, Thy bounty, and Thy generosity for which he hopes! Thou art Possessor of boundless mercy and generous bounty. O God, repay him for Thy messages which he delivered, Thy signs which he passed on, the good counsel he gave to Thy servants, and the struggle he undertook in Thy way, with the best Thou hast repaid any of Thy angels brought nigh and Thy prophets sent out and chosen! And upon him and his Household, the good, the pure, be peace, God's mercy, and His blessings!",(Supplication - 42),sajjadiyya_42.mp3,1,42,دعاۓ ختم القرآن,دعا به وقت ختم قران,42-  دُعَاؤُهُ عِنْدَ خَتْمِهِ الْقُرْآنَ.,क़ुरआन ख़तम करने के बाद की दुआ,Invocation de la terminaison de la lecture entière du Coran,R,,1.0,58.0,,
43,When he Looked at the New Crescent Moon,His Supplication when he Looked at the New Crescent Moon,"O obedient creature, speedy and untiring, frequenter of the mansions of determination, moving about in the sphere of governance! I have faith in Him who lights up darknesses through thee, illuminates jet-black shadows by thee, appointed thee one of the signs of His kingdom and one of the marks of His authority, and humbled thee through increase and decrease, rising and setting, illumination and eclipse. In all of this thou art obedient to Him, prompt toward His will. Glory be to Him! How wonderful is what He has arranged in thy situation! How subtle what He has made for thy task! He has made thee the key to a new month for a new situation.
So I ask God, my Lord and thy Lord, my Creator and thy Creator, my Determiner and thy Determiner, my Form-giver and thy Form-giver, that He bless Muhammad and his Household and appoint thee a crescent of blessings not effaced by days and of purity not defiled by sins; a crescent of security from blights and of safety from evil deeds; a crescent of auspiciousness containing no misfortune, of prosperity accompanied by no adversity, of ease not mixed with difficulty, of good unstained by evil; a crescent of security and faith, favour and good-doing, safety and submission!
O God, bless Muhammad and his Household, place us among the most satisfied of those over whom the crescent has risen, the purest of those who have looked upon it, the most fortunate of those who have worshipped Thee under it; give us the success during [the new month] to repent, preserve us within it from misdeeds, guard us therein from pursuing disobedience to Thee, allot to us within it thanksgiving for Thy favour, clothe us during it in the shields of well-being, and complete for us Thy kindness by perfecting therein obedience to Thee! Surely Thou art All-kind, Praiseworthy. And bless Muhammad and his Household, the good, the pure.",(Supplication - 43),sajjadiyya_43.mp3,1,43,دعاۓ رویت ہلال,دعا هنگام نگاه کردن به هلال,43-  دُعَاؤُهُ إِذَا نَظَرَ إِلَى الْهِلَالِ.,नया चाँद देखने के बाद की दुआ,Invocation du premier croissant de la lune (le premier jour du mois lunaire),R,,1.0,59.0,,
