Category,VerseBy,Verse,VerseRef,IsDisplayed,SubCategory
Knowledge and Its Value ,Imam Amir ul Mu'mineen Ali [a] said,"""The one who seeks for knowledge is like a warrior in the cause of religion for the way of Allah.""","Bihar-ul-Anwar, vol. 1, p. 179",0,
Knowledge and Its Value ,Imam Sadiq [a] said,""" Be careful of your knowledge and see from whom you get it.""","Bihar-ul-Anwar, vol. 2, p. 92",0,
Knowledge and Its Value ,Imam Sadiq [a] said,"""Try to obtain knowledge and ornament it with patience and dignity; and be humble for the one who learns knowledge from you.""","Al-Kafi, vol.1, p. 36",0,
Knowledge and Its Value ,Imam Sadiq (as.) said,"""The one who learns knowledge and acts accordingly, and teaches it for Allah, will be called magnificently in heavens.""","Al-Kafi, vol.1, p.35",0,
Knowledge and Its Value ,The Holy Prophet [s] said,"""The good of this world and the world to come is with knowledge.""","Bihar-ul-Anwar, vol.1, p. 204",0,
Knowledge and the Virtue of Learning It ,The Holy Prophet [s] said,"""He who searches for knowledge is similar to a person who fasts during the day and keeps vigil at night and is busy worshipping. If a person acquires a branch of knowledge, it is better for him than possessing as much gold as the height of Abu Qubais Mount which he would distribute in the way of Allah.""","Bihar-ul-Anwar, vol.1, p.184",0,
Knowledge and the Virtue of Learning It ,Imam Zayn-ul-'Abideen [a] said,"""Were people aware of what lies in the obtainment of knowledge, they would pursue it even though they had to make voyages and endanger their lives to obtain it.""","Usul-I-Kafi, vol. 1, p. 35",0,
Knowledge and the Virtue of Learning It ,Imam Amir ul Mu'mineen Ali [a] said,"""Acquiring knowledge is not possible while the body (person) is tranquil.""","Ghurar-ul-Hikam, p. 348",0,
Knowledge and the Virtue of Learning It ,Imam Sadiq [a] said,"""Safeguard your writings and books because soon the occasion will arise that you will be in need of them.""","Bihar-ul-Anwar, vol. 2, p.152",0,
Knowledge and the Virtue of Learning It ,Imam Amir ul Mu'mineen Ali [a] said,"""Surely, the completion of religion is due to the obtaining of knowledge and acting on it (accordingly), and beware that the obtaining of knowledge is more obligatory for you than earning wealth.""","Usul-ul-Kafi, vol.1, p. 23",0,
Knowledge and the Virtue of Learning It ,Imam Hassan [a] said,"""Teach your knowledge to others and (try to) learn yourself the knowledge of others.""","Bihar-ul-Anwar, vol. 78, p. 111",0,
Knowledge and the Virtue of Learning It ,The Holy Prophet [s] said,"""The virtue of knowledge is more beloved with Allah than the virtue of worship.""","Bihar-ul-Anwar, vol. 1, p. 167",0,
Knowledge and the Virtue of Teaching It ,The Holy Prophet [s] said,"""Someone who possesses knowledge on a subject but conceals it when he is asked will be bridled with reins of fire."" (Therefore, if a person possesses information that would help a bewildered person and improve his situation but he remains silent, he has surely committed a great sin.)","Al -'Ithna-'Ashariyyah, p. 11",0,
Knowledge and the Virtue of Teaching It ,The Holy Prophet [s] said,"""The Quran is Allah's university; so, learn as much as you can in this university.""","Bihar-ul-Anwar, vol. 92, p.19",0,
Knowledge and the Virtue of Teaching It ,The Holy Prophet [s] said,"""Verily, what will continue to reach a believer, after his death, from amongst his actions and good deeds are: the knowledge which he taught and spread, the righteous child whom he left behind, and the Holy script which he delivered as heritage (transcribed, and made available).""","Sunan-i-Ibn-Majeh, vol. 1, p. 88",0,
Knowledge and the Virtue of Teaching It ,"Abul-Hassan-ir-Rida (as.), the eighth Imam, said","""May the Mercy of Allah be upon the servant who keeps alive our commandment."" Then the person attending the Imam asked him [a] how their commandment could be kept alive and he [a] replied: ""He (can) learn our sciences and teach them to people. In fact, if people knew (the merits and) the goodness of our statements, surely they would follow us.""","Ma'ani-ul-Akhbar, p.180 & 'Uyun-il-Akhbar-ir-Rida, vol.1, p. 207",0,
The Excellence and Importance of Scholars ,The Holy Prophet [s] said,"""There are two groups of my Ummah that when they are pious, my Ummah will be upright and when they are immoral my Ummah will be corrupt.                                                                             ""The Messenger of Allah [s] was asked who they were, and he answered: ""The religious scholars and rulers.""","Bihar-ul-Anwar, vol. 2, p. 49",0,
The Excellence and Importance of Scholars ,Imam Baqir [a] said,"""When confronting a sage, try to be more inquisitive than talkative, and learn how to listen well as much as you learn how to speak well, and do not interrupt the statement of anyone.""","Bihar-ul-Anwar, vol. 1, p. 222",0,
The Excellence and Importance of Scholars ,The Holy Prophet [s] said,"""O' Ali! Gabriel wished to become a human being for seven reasons, which are:                                                     1. Congregational prayer.
2. Companionship with scholars.
3. Establishing peace between two persons.
4. Honouring the orphans.
5. Visiting the sick.
6. Attending a funeral procession.
7. Giving of water to Pilgrims.                                                                                                          Then, be desirous of these things.""","Al -'Ithna 'Ashariyyah, p. 245",0,
The Excellence and Importance of Scholars ,Imam Amir ul Mu'mineen Ali [a] said,"""When the utterance of the wise is to the point, it serves as a remedy, but if it is wrong it proves like an illness.""","NahjuI-Balagha, saying No. 265",0,
The Excellence and Importance of Scholars ,"Imam Hassan 'Askari, the eleventh Imam, [a] said","""The scholars of our followers (Shi'ah) are the guards of the bounds of Islam. Then, anyone of our followers who undertakes this (duty) is superior to the one who fights in the battle against the Romans, (because this one defends the theological bounds of our followers).""","AI-Ihtijaj, vol. 2, p. 155",0,
The Excellence and Importance of Scholars ,"Imam Rida, the eighth Imam, [a] said","""Beware that surely a (true religious) jurist is he who pours forth his benediction unto people, saves them from their enemies, multiplies the blessings of Heaven for them, and earns the Pleasure of Allah the Exalted, for them (through guidance).""","Bihar-ul-Anwar, vol. 2, p. 5",0,
The Excellence and Importance of Scholars ,Imam Amir ul Mu'mineen Ali [a] said,""" ...The reward of a religious scholar is greater than the reward of a person who is fasting on days and establishes prayers during the night and fights in the Holy War for the sake of Allah. And, when a religious scholar dies, there will appear a gap in Islam which cannot be compensated except by a replacement of that (kind).""","Bihar-ul-Anwar, vol. 2, p. 43",0,
The Excellence and Importance of Scholars ,Imam Amir ul Mu'mineen Ali [a] told Kumayl,"O' Kumayl! Those who compile wealth are dead even though they may be living, while the sages (who are endowed with knowledge) will remain as long as the world remains. Their bodies perish but their depictions will exist in the hearts.""","Nahjul-Balagha, saying No.147",0,
The Excellence and Importance of Scholars ,Imam Husayn [a] said,"""...Verily, the paths to Muslims' affairs and the religious ordinances are in the hands of the godly scholars who are the trusties of Allah in His lawful and unlawful things. ...""","Tuhaful-'Uqul, p.172",0,
Being Attentive to the Hereafter ,"The Holy Prophet [s] said that the disciples of Jesus [a] asked him with whom they should make friends, and he [a] replied","""With one whose presence reminds you of God, his speech increases your knowledge and his deed inspires you (to work righteously for) the next world.""","Bihar-ul-Anwar, vol. 1, p. 203",0,
Being Attentive to the Hereafter ,Amir ul Mu'mineen Ali [a] said,"""No business should hinder you from being busy doing good for the coming world, hence, surely, the length of opportunity is a very short time.""","Ghurar-ul-Hikam, p. 335",0,
Being Attentive to the Hereafter ,Amir ul Mu'mineen Ali [a] said,"""He who sells his next life for his present life in this world, loses both of them.""","Ghurar-ul-Hikam, p. 274",0,
Being Attentive to the Hereafter ,"Imam Hadi, the tenth Imam, [a] said","""Remember when you are on your deathbed and your body is lying before your family members, then there is no physician to prevent you (from death) nor a friend to avail you.""","Bihar-ul-Anwar, vol. 78, p. 370",0,
Repentance ,The Holy Prophet [s] said,"""The sigh of the people of Hell is mostly because of the postponement of repenting.""",Al-Mahajjat-ul-Bayda,0,
Repentance ,Imam Baqir [a] said,"""He who repents of his sins is as the one who has not any (burden of) sin.","Wasa'il-ush-Shi'ah vol. 16, p. 74",0,
Repentance ,Imam Amir ul Mu'mineen Ali [a] said,"""How numerous procrastinators there are who postpone (repenting and doing good deeds) until when death overtakes them!","Ghurar-ul-Hikam, p. 240",0,
Repentance ,The Holy Prophet [s] told Ali-ibn-Abi-Talib [a],"""O' Ali! Blessed is he who Allah looks upon while he is weeping for the sin that none is aware of except Allah.                                                                                                                                                (Various traditions emphasize that one must not let others know of his sins. One must make confessions about his sins only to Allah and, then, repent.)","Bihar-ul-Anwar, vol. 77, p. 63",0,
Repentance ,The Holy Prophet [s] said,"""During the third part of every night and on the night before Friday from the beginning (until the break of dawn) Allah sends an angel unto the sky of the earth in order to call: 'Is there any needy who asks that I may bestow upon him his need? Is there any repentant one that I may return to him? Is there any seeker of forgiveness that I may forgive him?'""                                                                        Note:                                                                                                                                                Islamic traditions teach that sleeping on the night before Friday is called 'the regret sleep'; for, on the Reckoning Day, people will regret very much that they had been asleep on the nights before Fridays.","Bihar-ul-Anwar, vol. 3, p. 314",0,
Repentance ,"Imam Sadiq, the sixth Imam, [a] said","""Shut the doors of sins through seeking refuge to God, and open the doors of obedience by (reciting) 'Bismillah'.""[4]                                                                                                                                                                            Bismillah, here is a short form of /bismillah-ir-rahman-ir-rahim/ ","Bihar-ul-Anwar, vol. 92, p. 216",0,
Protecting the Honour of Believers ,Imam Baqir [a] said,"""It is compulsory for every Muslim to conceal even seventy great faults of his fellow Muslims (in order to save his prestige)."" (His faults should be dealt with personally but not be spread among the members of society).","Bihar-ul-Anwar, vol. 74, p. 301",0,
Protecting the Honour of Believers ,Imam Amir ul Mu'mineen Ali [a] said,"""Accept the apology of your Muslim brother and if he has not any, invent one for him yourself.""","Bihar-ul-Anwar, vol. 74, p. 165",0,
Protecting the Honour of Believers ,Imam Amir ul Mu'mineen [a] said,"""The worst form of betrayal is the disclosure of confidential information.""","Mustadrak Al-Wasa'il-ush Shi'ah, vol. 12, p. 305, No.14155",0,
Protecting the Honour of Believers ,Imam Amir ul Mu'mineen Ali [a] said,"""Your admonition (to the wrong-doer) in the presence of people is to humiliate him."" (You must talk to him in private).","Ghurar-ul-Hikam, p. 322",0,
Protecting the Honour of Believers ,Imam Sadiq [a] said,"""From the most beloved deeds with Allah, Almighty and Glorious, is bringing happiness to a Muslim believer such as: satiating his hunger, removing his grief, or paying his debt.""","Al-Kafi, vol. 2, p. 192",0,
Righteous Deeds ,The Holy Prophet [s] said,"""To make peace between two individuals (in comparison) is worthier than one's entire prayers and fastings.""","Bihar-ul-Anwar, vol. 76, p. 43",0,
Righteous Deeds ,Imam Amir ul Mu'mineen [a] said,"""If a person thinks well of you, make his idea hold true.""","Nahjul-Balaghah, p. 511, saying No. 248",0,
Righteous Deeds ,The Holy Prophet [s] said,"""He who leads (others) to piety (will be rewarded) the same as the doer of that good action.""","Bihar-ul-Anwar, vol. 96, p. 119",0,
Righteous Deeds ,Imam Sadiq [a] said,"""There are six things that a Muslim believer can be profited by after his death:                                         1.  A righteous child who seeks forgiveness for him.
2. The Holy scripture which will be recited from.
3.  A well which he had dug (for the benefit of people).
4.  The tree which he had planted.
5.  The charity of water that he had caused to flow.
6.  A good tradition which will be followed (by people) after him.""","Khisal by Saduq, p.323",0,
Righteous Deeds ,The Holy Prophet [s] said,"""If it were not hard upon my Ummah, I would enjoin them to brush (their teeth) with every prayer.""","Bihar-ul-Anwar, vol. 76, p. 126",0,
Injustice and Transgression ,The Holy Prophet [s] said,"""On the Day of the Resurrection a caller will announce: ""Where are the oppressors and their assistants and those who prepared an inkwell for them or fastened a bag for them or supplied the ink of a pen (for them)? Then, gather these (people) with them!'""","Thawabab-ul-'A'mal, p. 309",0,
Injustice and Transgression ,Imam Amir ul Mu'mineen Ali [a] said,"""By Allah, even if I am given all the domains of the seven countries with all that exists under the skies in order that I may disobey Allah to the extent of snatching one grain of barley from an ant, I would not do it.""","Nahjul-Balagha, p. 347",0,
Injustice and Transgression ,"Imam Baqir, the fifth Imam, [a] said","""There are three types of transgressions: the one which Allah, the Exalted, forgives, the one He does not forgive, and that one which He does not ignore. Thus, the transgression that He does not forgive is infidelity unto Allah, the Almighty, and Glorious. And, the transgression which Allah forgives is the one that a person commits (against) himself between him and Allah, to Whom belong Might and Majesty. But the transgression which He does not ignore is the one committed against rights of men.""                                                                                                                   Explanation                                                                                                                                                                         The third transgression is referring to when a person infringes upon the rights of others. The way to forgiveness is first by satisfying (contenting) the person whose rights were infringed upon. If that person forgives him, then the transgression becomes as one that the person has commited against himself. He may then seek forgiveness from Allah.","AI-Kafi, vol. 2, p. 330",0,
Injustice and Transgression ,Imam Amir ul Mu'mineen Ali [a] said,"""Transgression causes the foot to go astray, takes the blessings, and kills the nations.""","Sharh Ghurar-ul-Hikam, vol. 2, p. 36",0,
Injustice and Transgression ,Imam Amir ul Mu'mineen Ali [a] said,"""... Nothing is more inducive of the reversal of Allah's bounty or for hastening of His retribution than continuance in oppression, because Allah hears the prayer of the oppressed and is on the look-out for the oppressors.""","Nahjul-Balagha, Letter 53",0,
The Rights of Fellow Muslims ,The Holy Prophet [s] said,"""He who grieves a true Muslim cannot then compensate for it by offering him the entire world because it is not sufficient compensation (unless he repents and appeases the said person).""","Bihar-ul-Anwar, vol. 75, p. 150",0,
The Rights of Fellow Muslims ,Imam Kadhim [a] said,"""Among your most compulsory duties towards your Muslim brother is that you conceal nothing from him which profits him either in this life or in the Hereafter.""","Bihar-ul-Anwar, vol. 2, p. 75",0,
The Rights of Fellow Muslims ,"Imam Hassan, the second Imam [a], said","""Treat others similar to the way you would like for them to treat you.""","Bihar-ul-Anwar, vol. 78, p. 116",0,
The Rights of Fellow Muslims ,Imam Amir ul Mu'mineen Ali [a] said,"""May Allah have mercy upon the person who services a right and removes a wrong, or refutes an injustice and establishes justice.""","Ghurar-ul-Hikam, p. 181",0,
The Rights of Fellow Muslims ,Imam Sadiq [a] said,"""These four characteristics are from the manners of Prophets [a]: righteousness, graciousness, patience and perseverance in tolerating misfortunes, and rising for the right of a believer.""","Tuhaf-ul-Uqul, p. 277",0,
The Rights of Fellow Muslims ,Imam Amir-ul-Mu'mineen Ali [a] said,"""Surely, it is the common people of the community who are the pillars of the religion, the power of the Muslims and the defence against the enemies. Your leaning should therefore be towards them and your inclination with them.""","Nahjul Balagha, Letter 53",0,
The Rights of Fellow Muslims ,Imam Sadiq [a] said,"""In no way is Allah worshipped better than by fulfilling the right of a believer.""","Al-Kafi, Vol.2, p. 170",0,
The Rights of Fellow Muslims ,The Holy Prophet [s] said,"""He who hurts a Muslim believer, surely he has hurt me.""","Bihar-ul-Anwar, vol. 67, p. 72",0,
The Rights of Fellow Muslims ,The Holy Prophet [s] said,"""He who unlawfully and usurpingly deprives a believer of wealth, Allah will continue to be displeased with him and does not accept his good actions that he fulfills; and none of them will be recorded among his good deeds until he repents and returns the wealth which he had taken to its owner.""","Mustadrak-ul-Wasa'il, vol. 17, p. 89",0,
Greetings ,The Holy Prophet [s] said,"""When you meet each other then initiate greeting (salam) and embrace; and when you separate from each other, then depart with seeking forgiveness.""","Bihar-ul-Anwar, vol. 76, p. 4",0,
Greetings ,Imam Husayn-ibn-Ali [a] said,"""Seventy rewards is the share of the one who initiates a 'greeting' and only one reward belongs to the one who returns the 'greeting'."" (When two people see each other, the initiator of the exchange of greetings receives a greater reward.)","Bihar-ul-Anwar, vol. 78, p. 120",0,
Greetings ,Imam Sadiq [a] said that the Messenger of Allah [s] gathered the children of 'Abd-il-Muttallib and said,"""O' children of 'Abd-il-Muttallib! Initiate greetings, have regard for kinship, perform the night prayers while people are asleep, feed (others) food, and deliver good speech and thereby you will enter paradise in peace.""","Bihar-ul-Anwar, vol. 69, p. 393",0,
Greetings ,Imam Sadiq [a] said,"""He who initiates a greeting is more beloved with Allah and His Messenger.""","Wasa'il-ush-Shiah vol.12, p. 55",0,
Enjoining Right and Forbidding Wrong ,,"And from among you there should be a party who invite to good and enjoin what is right and forbid the wrong, and these it is that shall be successful.","'Al-i-'lmran, No. 3, verse 104",0,
Enjoining Right and Forbidding Wrong ,The Holy Prophet [s] said,"""The time when my Ummah (Muslim followers) merely count on others to enjoin right and forbid wrong, in fact, they have declared a fight against Allah, the Exalted.""","Bihar-ul-Anwar, vol. 100, p. 92",0,
Enjoining Right and Forbidding Wrong ,Imam Amir ul Mu'mineen Ali [a] said,"""He who abandons forbidding what is wrong theoretically and practically (and is indifferent while seeing vices committed) is a moving corpse amongst the living.""","Bihar-ul-Anwar, vol. 100, p. 94",0,
Enjoining Right and Forbidding Wrong ,The Holy Prophet [s] said,"""To prevent a Muslim from doing an unlawful action is equivalent with Allah to the performance of seventy accepted Hajj.""","Mustadrak Al-Wasa'iI-ush-Shia'h, vol. 11, p. 278",0,
Enjoining Right and Forbidding Wrong ,Imam Amir ul Mu'mineen Ali [a] said,"""Ask others to do good; you will thus be among the good doers. Desist others from evil with your action as well as your speech, and stay away, to the best of your ability, from he who commits it. Struggle for Allah as is His due; and the reviling of a reviler should not deter you in matters of Allah. Leap into danger for the sake of right wherever it may be.""","Nahjul Balagha, p. 392 letter 31",0,
Enjoining Right and Forbidding Wrong ,Imam Baqir [a] said,"""Verily, enjoining what is right and forbidding what is wrong is the way of prophets and the method of good doers. It is such a great obligatory deed (wajib) by which other obligatory deeds can survive, other creeds can be saved, bargains are lawful, injustices are warded off, and prosperity can fill the earth...""","Al-Kafi, vol. 5, p. 56",0,
Enjoining Right and Forbidding Wrong ,Imam Amir ul Mu'mineen Ali [a] said,"""The firmness of the religion is due to enjoining what is good and forbidding what is wrong, and observing the limits of Allah.","Ghurar-ul-Hikam, p. 236",0,
Enjoining Right and Forbidding Wrong ,The Holy Prophet [s] said,"""The one who sees a wrong action done should prohibit it by his deed, if he is capable, of course; and if he cannot do that, he should prohibit it by his tongue, but if he is not able to do even that, he may forbid it by his heart.""","Wasa'il-ush-Shi'ah, vol. 16, p. 135",0,
Enjoining Right and Forbidding Wrong ,The Holy Prophet [s] said,"""He who enjoins right and prohibits wrong is the vicegerent of both Allah and His Messenger on the earth.""","Mustadrak-ul-Wasa'il, vol. 12, p. 179",0,
Enjoining Right and Forbidding Wrong ,The Holy Prophet [s] said,""" Whensoever my Ummah undertake to enjoin right and prohibit evil and associate in establishing benevolence, they live happily and prosperously; but when they stop doing so, the blessings will be taken off from them.""","At-Tahthib, vol. 6, p. 181",0,
Enjoining Right and Forbidding Wrong ,Imam Amir ul Mu'mineen Ali [a] said to Imam al-Hassan and Imam al-Husayn [a] when Ibn Muljam (the curse of Allah be upon him) struck him (fatally with a sword),"""... Fear Allah (and again) fear Allah in the matter of Jihad, (struggle for the Holy War), with the help of your property, lives and speech in the way of Allah...""                                                                       ""Do not give up bidding for good and forbidding from evil lest the mischievous gain positions over you, and then (in that case) when you pray, your invocations will not be granted to you.","Nahjul Balagha, Letter 47, p. 422",0,
Enjoining Right and Forbidding Wrong ,Imam Amir ul Mu'mineen Ali [a] said,"""Enjoining good is the most excellent deed of people.""","Mustadrak-ul-Wasa'il, vol. 12, p.185",0,
Enjoining Right and Forbidding Wrong ,Imam Sadiq [a] said,"""All good deeds totally, including even the struggle in the Holy War in the way of Allah, comparing with enjoining right and forbidding wrong, is like a small amount of saliva compared with a deep ocean.","Bihar-ul-Anwar, vol. 100, p. 89",0,
Enjoining Right and Forbidding Wrong ,"Imam Baqir, the fifth Imam, [a] said",""" Allah, Almighty and Glorious, revealed to Prophet Jethro (Shu'ayb) [a]: 'I will punish one hundred thousand people of your folk. Forty thousand people are from their vicious ones but sixty thousand of them are from their good-doers. Jethro [a] inquired: 'These are the vicious (who deserve punishment), but what about the good-doers?' Then, Allah, Almighty and Glorious, revealed to him: 'They (the good-doers) associated with the sinners and did not become angry because of My wrath.""","Al-Kafi, vol. 5, p. 56",0,
Enjoining Right and Forbidding Wrong ,Imam Amir-uI-Mu'mineen Ali [a] said,"""Ask others to do good and forbid evil and do know that 'enjoining right and forbidding wrong' never draws death near nor ceases sustenance.""","Wasa'il-ush-Shi'ah, vol. 16, p. 120",0,
Enjoining Right and Forbidding Wrong ,Imam Sadiq [a] said,"""Woe to the people who do not support the religion of Allah by enjoining good and forbidding evil.""","Mustadrak Al-Wasa'il-ush-Shi'ah, vol. 12, p. 181",0,
The Tongue and Its Evils ,The Holy Prophet [s] said,"""Affliction caused by the tongue is worse than (that caused by) the strike of the blade of a sword.""","Bihar-ul-Anwar, vol. 71, p. 286",0,
The Tongue and Its Evils ,The Holy Prophet [s] said,"""Among all things, the tongue deserves to be prisoned longer than anything else."" (Because most of our sins are committed by it, such as backbiting, telling lies, defaming, mocking, insulting, etc.)","Bihar-uI-Anwar vol. 71, p. 277",0,
The Tongue and Its Evils ,Imam Amir-ul-Mu'mineen Ali [a] said,"""Do contemplate before speaking so that you may guard yourself from (committing) errs.""","Ghurar-uI-Hikam, p. 228",0,
The Tongue and Its Evils ,The Holy Prophet [s] said,"""The destruction of man lies in three (things): his stomach, his lusts, and his tongue.""","Waqayi'-ul-'Ayyam, p. 297",0,
The Tongue and Its Evils ,"Imam Baqir, the fifth Imam, [a] said","""No one is safe from sins unless the one controls his/her tongue.""","Bihar-ul-Anwar, vol. 78, p. 178",0,
Backbiting and Faultfinding ,The Holy Prophet [s] said,"""Slander acts quicker against the faith of a Muslim believer than leprosy does against his body.""","Usul-I-Kafi, vol. 2, p. 257",0,
Backbiting and Faultfinding ,Imam Amir-ul-Mu'mineen Mi [a] said,"""The listener to backbiting is the same as the backbiter.""","Ghurar-ul-Hikam, p. 307",0,
Backbiting and Faultfinding ,The Holy Prophet [s] said,"""The abandoning of backbiting is more valuable to Allah, Almighty and Glorious, than the performance of ten thousand rak'at of recommended prayers.""","Bihar-ul-Anwar, vol. 75, p. 261",0,
Backbiting and Faultfinding ,Imam Amir-ul-Mu'mineen Ali [a] said,"""The most vicious person is he who looks for other people's defects while he overlooks his own faults.""","Tara'if-ul-Hikam, p. 176",0,
Backbiting and Faultfinding ,Imam Kazim [a] said,"""Cursed is the one who backbites against one's brother (fellow Muslim).""","Bihar-ul-Anwar, vol. 74, p. 232",0,
Telling Lies ,Imam Sajjad [a] said,"""Avoid telling lies irrespective of small or great, whether it is in earnest or joking, because when a person tells a lie in small (things), he dares to tell a lie in great things, too.""","Tuhaful-Uqul, p. 201",0,
Telling Lies ,"Once Imam Amir-ul-Mu'mineen Ali [a] was asked about the distance between the truth and untruth and, while he [a] was showing the distance between his eye and ear with his four fingers in order to illustrate this distance as his answer, he said","""What your eyes see is 'truth' and what your ears hear is for the most part 'untruth'.""","Bihar-ul-Anwar, vol. 75, p. 196",0,
Telling Lies ,Imam Baqir [a] said,"""Verily, Allah, the exalted, has put some locks on vices, the key of which He has put in wine, but the vice of lying is worse than wine.""","AI-Kafi, vol. 2, p. 339",0,
Telling Lies ,Imam Rida [a] said,"""Be truthful and avoid telling lies.""","Bihar-ul-Anwar, vol. 78, p. 347",0,
Companions & Friendship ,The Holy Prophet [s] said,"""Man is influenced by the faith of his friends. Therefore, be careful of whom you associate with.""","Bihar-ul-Anwar, vol. 74, p. 192",0,
Companions & Friendship ,Imam Sadiq [a] said,"""Be the friend of he who may grace you, not of one whom you are better than."" (- viz. make friends with ones who are higher than you so that you progress.)","Bihar-ul-Anwar, vol. 76, p. 267",0,
Companions & Friendship ,Imam Sadiq [a] said,"""My most beloved brother is he who (makes me aware of) my faults.""","Bihar-ul-Anwar, vol. 74, p. 282",0,
Companions & Friendship ,Imam Amir-ul-Mu'mineen Ali [a] said,"                                                                                                                                      ""Verily, there are three (types of) friends for a Muslim:
1.  The friend who says: 'I am with you whether you are alive or dead', and this is his deed.
2.  The friend who says: ' I am with you unto the threshold of your grave and then I will leave you', and this is his child.
3.  The friend who says: 'I will be with you until when you die', and this is his wealth which will belong to the inheritors when he dies.                                                                  "" Note:                                                                                                                            From this tradition, and the like, we understand that the only thing which will avail for individuals in the Hereafter is Faith and good deeds. This is also referred to in many Islamic traditions as well as the verses of the Holy Qur'an, for example:
1.  ""For those who believe and work righteousness is (every) blessedness and a beautiful place of (final) return."" (13:29)
2.  ""As to those who believe and work righteousness, verily We shall not suffer to perish the reward of any who do a (single) righteous deed."" (18:30)
3.  ""As to those who believe and work righteous deeds, they have, for their entertainment, the Gardens of Paradise."" (18: 107)
4.  ""On those who believe and work deeds of righteousness, will (God) Most Gracious bestow Love."" (19:96)","Al-Khisal by Saduq, vol. 1, p. 88",0,
Companions & Friendship ,Imam Sadiq [a] said,"""Be careful to have truthful friends and try to obtain them, for they are your support when you are in welfare, and your advocator when you have misfortune.","Bihar-ul-Anwar, vol. 74, p. 187",0,
Companions & Friendship ,Imam Sajjad [a] said,"""The meeting of the righteous invites you to goodness.""","Bihar-ul-Anwar, vol. 78, p.141",0,
Companions & Friendship ,Imam Sajjad [a] said,"""Beware of the companionship of the sinful, and helping of the unjust.""","Bihar-ul-Anwar, vol. 78, p.151",0,
Immoral Friends ,Imam Sadiq [a] said,"""He who seeks the company of those who insult the lovers of Allah has surely disobeyed Him, the Sublime.""","Usul-i-Kafi, vol. 2, p. 379",0,
Immoral Friends ,Imam Sadiq [a] said,"""When you are informed of a fellow companion committing an evil action, then go to him and tell him: 'O so and so! Either refrain from committing this sin or keep away from us'; then, avoid him unless he does so.""","Wasa'il-ush-Shi'ah, vol. 16, p. 146",0,
Immoral Friends ,Imam Sadiq [a] has narrated from his father Imam Muhammad Baqir [a] who said his father Ali ibn Husayn [a] stated,"""O' my son! Beware of five (groups) and do not seek companionship with them, do not speak with them, and do not make friends with them on (the) way.""                           Then, Imam Baqir [a] asked his father who they were and might he introduce them to him. He responded: 
1.  ""Beware of and do not associate with the one who tells lies. He is as a mirage which makes near for you what is far, and makes far to you what is near.""
2.  ""Beware of and do not associate with an immoral person, because he will sell you at the price of a morsel or less than that.""
3.  ""Beware of and do not associate with a miser because he will deprive you of his wealth when you are seriously in need of it.""
4.  ""Beware of and do not associate with a fool, because he wants to be of avail to you but he harms you.""
5.  ""Beware of and do not associate with the one who disregards his kinfolks, because I found him (such a person) cursed in the Book Allah, Almighty and Glorious, in three occurrences.""                                                                                                                  They are: (Sura AI-Baqarah, No.2, verse 27; Sura Ar-Ra'd, No.13, verse 25; and Sura Muhammad, No.47, verse 22).","Al-Kafi, vol. 2, p. 641",0,
Immoral Friends ,Imam Amir-ul-Mu'mineen Ali [a] said,"""O' Kumayl! Say what is just in any condition. Be friends with the righteous and avoid the evil doers, stay away from the hypocrites and do not accompany the treacherous.""","Mustadrak-ul-Wasa'il, vol. 12, p. 197",0,
Serving People ,The Holy Prophet [s] said,"""He who decreases a grief out of the grieves of this world for his Muslim brother, Allah will decrease for him a grief out of the grieves of the Hereafter.""","Shahab-ul-Akhbar, p. 194",0,
Serving People ,Imam Husayn [a] said,"""Verily, the procession of people's needs towards you is from among the blessings of Allah upon you. Therefore, grieve ye not because of these blessings.""","Bihar-ul-Anwar, vol. 74, p. 318",0,
Serving People ,Imam Amir ul Mu'mineen Ali [a] said,"""Whenever you find that your Muslim brother is in need, try to see to it."" (Do not let him feel compelled to verbalize his need).","Bihar-ul-Anwar, vol. 74, p. 166",0,
Serving People ,"Imam Sadiq [a] narrates from his forefathers [a], from the Messenger of Allah [s], who said","""He who feeds a believer to satiate him, Allah will feed him from the fruits of Heaven; he who dresses him to cover his nakedness, Allah will give him clothing of brocade and silk; he who quenches the thirst of a believer, Allah will give him drink of the sealed container; and he who helps him or removes his grief, Allah will settle him under the shade of His Throne on the Day of Reckoning when there is no shade except for His Shade.""","Bihar-ul-Anwar, vol. 74, p. 382",0,
Serving People ,The Holy Prophet [s] said,"""People are the dependents of Allah for sustenance, so the most beloved one of people with Him is the one who is helpful to the dependents Allah and makes the family members of a house happy.""","AI-Kafi, vol. 2, p. 164",0,
Serving People ,The holy Prophet [s] said,"""He who helps a Muslim believer (in his troubles), Allah, Almighty and Glorious, will remove from him seventy-three agonies, one of which is in this world and seventy-two other agonies at the time of Great Agony, when people are busy with themselves (in Hereafter).""","Al-Kafi, vol. 2, p.199",0,
Giving Loan ,The Holy Prophet [s] said,"""He whom is referred to by his Muslim brother (to borrow) but he does not give him loan, Allah will forbid him entering Paradise on the Day when the righteous will be recompensed.""","Bihar-ul-Anwar, vol. 76, p. 369",0,
